fixture,source,nodes,edges,version,crossings,overlaps,dirChanges,trunkVar,edgeLen,area
airport_luggage,internal,8,7,v0-original,0,21,0,0,630,185328
airport_luggage,internal,8,7,v1-compact-ordered,0,21,0,0,378,126360
airport_luggage,internal,8,7,v2-compact-spectral,0,21,0,0,378,126360
airport_luggage,internal,8,7,v3-compact-classic,0,21,0,0,378,126360
airport_luggage,internal,8,7,v4-grid-ordered,0,21,0,0,630,185328
airport_luggage,internal,8,7,v5-compact-refined,0,21,0,0,378,126360
cicd,internal,8,8,v0-original,0,6,1,0,748,214812
cicd,internal,8,8,v1-compact-ordered,0,6,1,0,573,165240
cicd,internal,8,8,v2-compact-spectral,0,6,1,0,573,165240
cicd,internal,8,8,v3-compact-classic,0,6,1,0,573,165240
cicd,internal,8,8,v4-grid-ordered,0,6,1,0,748,214812
cicd,internal,8,8,v5-compact-refined,0,6,1,0,573,165240
o2c_full,internal,12,13,v0-original,0,21,3,207.36,1374,297432
o2c_full,internal,12,13,v1-compact-ordered,0,21,3,207.36,849,198288
o2c_full,internal,12,13,v2-compact-spectral,0,21,3,207.36,849,198288
o2c_full,internal,12,13,v3-compact-classic,0,21,3,207.36,849,198288
o2c_full,internal,12,13,v4-grid-ordered,0,21,3,207.36,1374,297432
o2c_full,internal,12,13,v5-compact-refined,0,21,3,207.36,849,198288
hire_to_retire,internal,9,8,v0-original,0,15,0,207.36,734,242352
hire_to_retire,internal,9,8,v1-compact-ordered,0,15,0,207.36,503,181764
hire_to_retire,internal,9,8,v2-compact-spectral,0,15,0,207.36,503,181764
hire_to_retire,internal,9,8,v3-compact-classic,0,15,0,207.36,503,181764
hire_to_retire,internal,9,8,v4-grid-ordered,0,15,0,207.36,734,242352
hire_to_retire,internal,9,8,v5-compact-refined,0,15,0,207.36,503,181764
logistics_ship,internal,9,8,v0-original,0,28,0,0,720,206388
logistics_ship,internal,9,8,v1-compact-ordered,0,28,0,0,432,138996
logistics_ship,internal,9,8,v2-compact-spectral,0,28,0,0,432,138996
logistics_ship,internal,9,8,v3-compact-classic,0,28,0,0,432,138996
logistics_ship,internal,9,8,v4-grid-ordered,0,28,0,0,720,206388
logistics_ship,internal,9,8,v5-compact-refined,0,28,0,0,432,138996
healthcare,internal,9,9,v0-original,0,10,2,141.75,838,242352
